id,mes,ano,data_pagamento,status,pdf_consolidado_url,total_documentos,documentos_vinculados,documentos_pendentes,created_by,created_at,updated_at
dc6b3eed-5210-4939-b2d5-2ef89ce06d5f,11,2023,2023-12-01,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
ee5a0866-4a82-4021-9bb8-3cf1d81b49af,1,2022,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
38da6231-c625-48bf-9f48-6a31cb1448bd,2,2022,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
5d3d1506-3b6d-4f2a-89dd-1d916e1828ab,3,2022,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
fa855f54-d6a5-4274-97d4-d3998f639903,4,2022,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
d57df077-41d2-4075-8f60-05b050932ae0,5,2022,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
8b24b3b1-ecc9-49d6-bd52-7d3df8e37a43,6,2022,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
1a372514-dfdf-45b5-917b-0c4868ba5833,7,2022,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
2937f70b-34db-413e-b187-706930f0c606,8,2022,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
dc33e4bc-5316-48ca-a666-6bfce7911f19,9,2022,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
36ef97f6-3b52-4840-921f-72c95f93da3d,10,2022,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
04ef3354-9926-4ef5-97bb-3571c7833d3b,11,2022,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
a307031f-508f-4810-845a-afed716df0ea,12,2022,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
8ac130f9-428c-4464-909c-c213bd140752,1,2023,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
79267756-cc1d-41f9-adc7-918359725e26,2,2023,,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
bdf20ced-4556-4e8a-9ca9-2752e176a23a,3,2023,2023-04-03,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
19a62994-4477-4949-85cc-7def18a10e9e,4,2023,2023-05-02,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
387c3f71-5c2b-43c9-9ab3-2d03a44949e8,5,2023,2023-06-02,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
bd60d433-22f2-469c-ba46-4fbc52b46cdc,6,2023,2023-07-03,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
bf95d54f-541c-4216-b398-8a41e912d593,7,2023,2023-08-02,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
085089a3-e800-4a41-a8ac-ff3ece289257,8,2023,2023-09-01,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
79f07745-2359-4a02-a61a-c894d9083e77,9,2023,2023-10-01,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
038c0ef7-87ce-4037-bc1a-51d1ecb64634,10,2023,2023-11-03,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
b4b11de1-9cae-4403-b31e-8574ab45acad,12,2023,2023-12-29,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
01de08f6-de83-45ff-a1f3-aa5b19ed567b,1,2024,2024-02-02,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
6b8e698e-73b3-4cbb-9b97-7f23a3afaad3,2,2024,2024-03-04,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
1ed98646-882c-4f3c-88aa-05ed3721dbf6,3,2024,2024-04-01,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
3569e290-ed53-4010-8017-1d61c07acf3e,4,2024,2024-05-02,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
b29b6196-723e-41df-a116-60c54da8019e,5,2024,2024-06-04,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
984e66f6-d884-413f-80d9-02dec36cffd9,6,2024,2024-07-02,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
16660bca-f145-4852-9929-034cbcb0b6c3,7,2024,2024-08-01,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
6a937178-aec6-4077-8581-2b5fdd212b44,8,2024,2024-09-02,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
fc9e1c7d-d6a5-46c7-a797-411e63fbf029,9,2024,2024-10-02,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
ae655ef5-5448-4326-bd8f-d1d02d2ef656,10,2024,2024-11-04,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
2e2b94eb-c1a9-4836-a963-144891868187,11,2024,2024-12-03,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
53680401-bedd-4db4-9283-f1d1b3c191d0,12,2024,2025-01-03,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
d261afe7-ea28-4e39-bbc4-8f7f6b37b025,1,2025,2025-02-04,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
0202f30e-6330-4880-8f06-a41e06137d76,2,2025,2025-02-28,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
dfbfde88-64c7-4076-92ae-afa3a0f609c3,3,2025,2025-04-02,rascunho,,0,0,0,,2026-03-30T20:28:01+00:00,2026-03-30T20:28:01+00:00
