id,avaliado_id,ciclo_id,nota_final,nota_eixox,nota_eixoy,calibrado,classificacao_final,perfil_id,classificacao_final_calibrado,nota_final_calibrado,feedback_lideranca,calibrado_nota_eixox,calibrado_nota_eixoy,feedback_colaboraodr,status_relatorio,manager_id,feedback_RH,grupo_calibragem_id,created_at,updated_at
6a513919-2bfe-4d88-adb0-1e347a900786,,9dacc860-8518-4d0b-bff6-557ffcf3506c,402,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
3618c77f-11b7-466f-814f-be0833487eae,,9dacc860-8518-4d0b-bff6-557ffcf3506c,414,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
0addf972-931d-49a3-ab2d-7d75b382c2f7,,9dacc860-8518-4d0b-bff6-557ffcf3506c,460,500,,,Muito Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
7f3bfd5a-7a1d-422d-8a14-bf9b0e72d288,,9dacc860-8518-4d0b-bff6-557ffcf3506c,458,500,,,Muito Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
1c5c02ac-e7ce-4b0a-8b48-8780723c128e,,9dacc860-8518-4d0b-bff6-557ffcf3506c,399,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
aaedb235-6459-46b2-9177-5cb2f051eed6,,9dacc860-8518-4d0b-bff6-557ffcf3506c,452,500,,,Muito Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
5ab6b860-5fc4-4e60-9acb-d1f5d288e3ee,,9dacc860-8518-4d0b-bff6-557ffcf3506c,282,200,,,Abaixo,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
a03d5712-2c3a-4e9c-9ce4-8aa3777aef33,,9dacc860-8518-4d0b-bff6-557ffcf3506c,386,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
a59460c8-8eb2-450a-aefe-a701b56eeb7f,,9dacc860-8518-4d0b-bff6-557ffcf3506c,406,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
13991471-dd59-41e1-9be4-7a6b19769b27,,9dacc860-8518-4d0b-bff6-557ffcf3506c,162,100,,,Abaixo,,,,,,,,Em aberto,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
423dd710-cead-432a-af5e-5c5e1fba267e,,9dacc860-8518-4d0b-bff6-557ffcf3506c,345,300,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
204b27cf-3d67-4a58-8218-60259be45e8d,,9dacc860-8518-4d0b-bff6-557ffcf3506c,472,500,,,Muito Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
30924a9d-17ea-4e4b-86f7-875d85b210ac,,9dacc860-8518-4d0b-bff6-557ffcf3506c,40,0,,,Abaixo,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
298777c2-d715-4176-94d9-69e589f3bca5,,9dacc860-8518-4d0b-bff6-557ffcf3506c,473,500,,,Muito Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
b37b2e17-09d9-48e2-9f6f-9022a10594b8,,9dacc860-8518-4d0b-bff6-557ffcf3506c,473,500,,,Muito Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
882c31fd-f98c-467e-a277-15d7f96b4745,,9dacc860-8518-4d0b-bff6-557ffcf3506c,400,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
4f74f5c1-3dcc-4f46-86cd-61838cdcef89,,9dacc860-8518-4d0b-bff6-557ffcf3506c,38,0,,,Abaixo,,,,,,,,Em aberto,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
14d07ce3-50cf-438d-8434-2e4d4d2ac84e,,9dacc860-8518-4d0b-bff6-557ffcf3506c,468,500,,,Muito Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
2ead1814-4468-4f48-8a47-356eb94d45aa,,9dacc860-8518-4d0b-bff6-557ffcf3506c,410,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
2961c6cc-39ac-4c21-8f00-f02637b2a3bf,,9dacc860-8518-4d0b-bff6-557ffcf3506c,338,300,,,Dentro,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
47d72233-cbb1-47ac-919b-30d89c1b121f,,9dacc860-8518-4d0b-bff6-557ffcf3506c,395,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
a3e961ba-fdcb-4554-b02c-0d2135cfe7e4,,9dacc860-8518-4d0b-bff6-557ffcf3506c,396,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
15e9eae2-dc61-4890-b1ab-746243ebb581,,9dacc860-8518-4d0b-bff6-557ffcf3506c,392,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
596d63fc-3465-45f6-b1cb-0960aaf986c4,,9dacc860-8518-4d0b-bff6-557ffcf3506c,325,300,,,Dentro,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
3960be78-e592-40e3-bde7-ff00ce950fe2,,9dacc860-8518-4d0b-bff6-557ffcf3506c,456,500,,,Muito Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
b95bd001-6153-4821-a89b-b1028c7dc14e,,9dacc860-8518-4d0b-bff6-557ffcf3506c,404,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
f95cb324-b4f3-45ab-8e0a-028b23d8f84f,,9dacc860-8518-4d0b-bff6-557ffcf3506c,398,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
6d7fb31c-f4bd-492f-aded-ad72acfd1089,,9dacc860-8518-4d0b-bff6-557ffcf3506c,288,200,,,Abaixo,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
878f14a1-1c18-41be-b3e4-a3349a6236bd,,9dacc860-8518-4d0b-bff6-557ffcf3506c,388,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
f1625425-1a06-438f-87b6-1036fc08ce34,,9dacc860-8518-4d0b-bff6-557ffcf3506c,411,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
b29c7ec0-8e60-41a1-925d-9e5744d7d51b,,9dacc860-8518-4d0b-bff6-557ffcf3506c,349,300,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
a37d1fcf-e120-4462-9340-95d82df52f6f,,9dacc860-8518-4d0b-bff6-557ffcf3506c,415,400,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
c4798dec-0eff-44c7-baee-9d9c0fad438a,,9dacc860-8518-4d0b-bff6-557ffcf3506c,344,300,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
e5ef2550-8022-4d5e-8110-e68a954847b0,,9dacc860-8518-4d0b-bff6-557ffcf3506c,338,300,,,Dentro,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
0436cc77-c6fd-45fd-b15f-5511662fd5fc,,9dacc860-8518-4d0b-bff6-557ffcf3506c,470,500,,,Muito Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
4b9b5f1d-1771-496e-b21b-50e75c7e24e0,,9dacc860-8518-4d0b-bff6-557ffcf3506c,475,500,,,Muito Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
d80c689f-a14b-42b8-9d8e-638bbb66b98d,,9dacc860-8518-4d0b-bff6-557ffcf3506c,465,500,,,Muito Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
ac4a793b-9547-4979-8818-806eb548cc55,,9dacc860-8518-4d0b-bff6-557ffcf3506c,353,300,,,Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
3b06e6d6-d407-46e7-9976-7c60db46aae1,,9dacc860-8518-4d0b-bff6-557ffcf3506c,462,500,,,Muito Acima,,,,,,,,Liberado,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
a7a67ce8-255a-4fba-a400-40474abad453,,9dacc860-8518-4d0b-bff6-557ffcf3506c,84,0,,,Abaixo,,,,,,,,Em aberto,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
2f280b3b-5609-4b93-accc-c6ea74521fea,,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,,,,,,,,,,,Em aberto,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
f8fb3070-7130-471f-bd32-497472a12fdd,,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,,,,,,,,,,,Em aberto,,,,2026-03-31T20:00:12+00:00,2026-03-31T20:00:12+00:00
