id,ciclo_id,avaliador_id,avaliado_id,relatorio_id,tipo_id,status_avaliacao,created_at,updated_at
83df5534-4107-4564-a2d5-f7b1f2461e4a,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,6a513919-2bfe-4d88-adb0-1e347a900786,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
37122937-5c3e-4e62-a954-f1d174a4c531,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,3618c77f-11b7-466f-814f-be0833487eae,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
51b926b5-5ddc-47d9-99c3-7340c0e293f2,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,0addf972-931d-49a3-ab2d-7d75b382c2f7,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
b582e14d-40a9-46e2-bee1-afb4e5f0ca00,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,7f3bfd5a-7a1d-422d-8a14-bf9b0e72d288,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
401d5873-8abe-4539-a20b-afb93437c173,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,1c5c02ac-e7ce-4b0a-8b48-8780723c128e,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
b9a1668b-c843-47a4-a79a-5458f9998556,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,aaedb235-6459-46b2-9177-5cb2f051eed6,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
71287d32-6b23-410b-af10-76a1d3ade440,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,5ab6b860-5fc4-4e60-9acb-d1f5d288e3ee,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
91b07287-7061-4c95-9901-7b71baca51d6,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,a03d5712-2c3a-4e9c-9ce4-8aa3777aef33,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
83e77fdc-a7ba-46d7-9c1d-ef64f35a82e5,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,a59460c8-8eb2-450a-aefe-a701b56eeb7f,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
ce34c913-ac45-4f95-bb0c-b41eba583c67,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,13991471-dd59-41e1-9be4-7a6b19769b27,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
4c7931e7-ce32-49c1-ac53-a830e1a7688d,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,423dd710-cead-432a-af5e-5c5e1fba267e,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
073c9171-c6b5-4fef-8efd-15c307605703,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,204b27cf-3d67-4a58-8218-60259be45e8d,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
c231582d-ea7c-42e5-82a3-c5bc29a60bcc,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,30924a9d-17ea-4e4b-86f7-875d85b210ac,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
eafb15ce-4111-4386-892a-a71218d0476c,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,298777c2-d715-4176-94d9-69e589f3bca5,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
166bd4f8-8317-49db-863e-5678f05f2a1f,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,b37b2e17-09d9-48e2-9f6f-9022a10594b8,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
18fe48a9-0f5b-4a12-941b-863182572eed,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,882c31fd-f98c-467e-a277-15d7f96b4745,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
26a6a6f5-d23c-4206-945f-b63b8340bb8d,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,4f74f5c1-3dcc-4f46-86cd-61838cdcef89,,Não Iniciada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
998d1c70-bb1c-493d-bd7e-285ec2f2d3f4,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,14d07ce3-50cf-438d-8434-2e4d4d2ac84e,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
5f512d29-142b-498b-9161-4537bdb162be,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,2ead1814-4468-4f48-8a47-356eb94d45aa,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
75695f1a-610f-4287-a127-63419d4444bd,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,2961c6cc-39ac-4c21-8f00-f02637b2a3bf,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
b9b47185-73bb-41d6-a9f7-06650e4f3b32,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,47d72233-cbb1-47ac-919b-30d89c1b121f,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
6de1bc21-e88a-4e08-ae04-5d53346b720d,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,a3e961ba-fdcb-4554-b02c-0d2135cfe7e4,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
cfc408d6-8251-4896-83eb-fa1ea16f7306,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,15e9eae2-dc61-4890-b1ab-746243ebb581,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
4808e485-2a7a-4643-890e-b73c2e0e5a5d,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,596d63fc-3465-45f6-b1cb-0960aaf986c4,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
bb221a32-a7d6-44c8-9a87-4d9c236c4659,9dacc860-8518-4d0b-bff6-557ffcf3506c,,,3960be78-e592-40e3-bde7-ff00ce950fe2,,Finalizada,2026-03-31T20:00:14+00:00,2026-03-31T20:00:14+00:00
