id,pessoa_id,tipo_contrato,gestor_id,created_at,updated_at
e6ac4eff-cc1d-467a-99e7-021a3a846f1b,394cb141-fba3-4a4f-8dae-c88e153c0871,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
9f1a7d48-6232-4c14-be21-4b89ce4dada4,b329bfca-e25d-4030-ba6f-163fe7bdc750,,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
56200540-3e61-4b2a-980d-6239b4ea6c19,,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
dc1ab1d1-9340-4b1b-ad59-59f7f5133e51,,,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
6e89e7c7-4fc7-4e80-a969-e0e716eced48,4186f12f-568f-4933-a3a4-29010acf647a,,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
e3fb0f8f-131a-452f-8f59-8a3a5a7c6eaf,3d6f239b-1db5-41b1-9682-bc83ad2cb6e3,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
42b92edc-82db-43cf-b5dd-552d8978ef29,26acf031-0d59-47d6-afdc-decfc878e434,,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
1577f3dc-855a-4a06-b7d4-19580adfe751,1c7258ab-6e72-4e1c-91cc-00e6d3eab3be,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
0511b449-1ec7-4de4-b68f-4d296b9e99e1,26acf031-0d59-47d6-afdc-decfc878e434,,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
ed24c34f-8071-41d0-add8-33e3a7894c78,888a8ffa-fd65-4299-8db3-c6deaf2f97d8,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
bf72473a-b5c1-49b4-b666-df986d341326,62c8e87d-44a3-4732-9c22-9f4d9056bd7b,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
98e78d29-16cb-48cb-a265-6c36df25944f,5e6a2c51-5806-4e78-b550-600ad774198a,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
c8147949-adfa-40e9-8746-d556efd5ba8b,1910e8f8-de44-4120-ada1-dd88c1c0623f,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
b4431826-097c-42fc-b8a1-217a124cc400,8a39e461-15a3-4a4b-8272-e2c344858258,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
6a27a59f-f854-43d7-bcea-bf03e7c203e2,4d6a852a-a2f4-452c-bd68-247384394c7b,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
c3b2bdce-7ace-43fa-a0fa-fd0c5bbd26c5,57f4ff00-bbdb-4304-89e8-ae77af4e0a7c,CLT,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
e8a0bae1-7c60-40fc-a1b1-30c4fc801674,9baf854d-38d5-4a21-90f6-2bc6209dde7a,CLT,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
5594e7c0-36e2-4615-b6b8-605d1ba0c506,5693e3ce-ca6c-4a5d-8eac-e08531eca883,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
889a0fcf-850d-41d0-a82c-f0aca7eac9b6,327382d5-93c7-4a9f-b3ce-053981eb9985,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
ce05de11-46c9-4eb3-b9cf-db7bdf4133dc,545c8e0c-ea6f-4beb-a4e2-d91ab2ad79d0,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
1fa7b600-2a91-4db3-97fc-7870f07b8d9b,64d665db-d1b1-40eb-98e2-76f64918dbcc,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
47231273-88fd-446c-ad44-3e8edd483654,c3fdff32-98d0-427d-a32c-203d858dcaa6,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
41381c19-2d29-4762-a9d6-b7ac081d7ae9,f02fd0e5-572d-45aa-b939-34c26713a9f5,CLT,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
85dfbb38-3f1c-46c4-b4d0-e31a2aeb88df,8fdd1ba5-fbc5-4047-877f-5c49fe35aea2,CLT,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
37214b99-c053-4383-99e5-a182aaf9c765,4fb99e56-6311-4556-9fa6-8742b4326c1e,CLT,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
96d5a087-e2a0-4330-ba00-8b627abb5a88,f092a72f-af92-4de1-a5b3-55f4a855e889,CLT,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
3b2732ce-41f0-4ccb-b49a-86d6a9664a8c,2f5a13eb-6d1f-4413-9a62-a4b9d85e52f2,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
2336a458-c1bc-46ac-b36f-e1aa95ce2855,7a13c3ed-b09b-4b38-b8c2-d37868bc8e34,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
61bf13f7-22b4-4953-bb4c-6fae38714491,30494203-a3e4-452c-ba92-c559ac4e6485,,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
973100ab-cb98-42ba-8c25-a46f86f65b0b,80b0c7a6-fb30-473f-af59-4292a702d980,,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
45fc8778-24be-4c2f-84f1-1e384a9b6137,eaf49994-99ce-40ac-be58-48984cf729e5,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
a3198d60-1897-4d1e-adc5-295dedf261e3,1878d8ca-4013-4821-b5da-86683a5c2035,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
4f766961-1ec3-42a0-b645-726198096a09,2d59f5da-cad9-4988-acf1-5ecd45d1a034,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
e9598cc1-c081-48a4-bada-db69a71d94ae,d8b36d49-d222-43ce-97ce-0d0cbb4ee1bf,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
d4b1dee1-6778-4eae-bab9-7153be6ac84b,b2e4f7a1-a423-44e1-96f6-cec56d4edce7,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
e267ef00-f1e4-4e4f-9cca-fc3a3b47e7f3,4bae3dc0-8b08-4926-8ddf-b8298586d51e,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
a5f866d6-bf9b-4830-aae5-2aa9b710b91b,b2d32a36-3492-4043-ae3e-cbe2008efc92,CLT,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
99538771-c012-4cb4-9d90-d9bb7ebc98ed,5980a24c-5902-4a49-977f-77259fe6c9f4,CLT,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
4231d09c-c6aa-4aeb-94ac-1b3b3b192da8,3804596f-8b92-43df-806f-e9e6fb10caed,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
cf0d9656-fc21-4f98-adc5-0f8ed3d66a05,bd0ed1c5-e4cd-4bb1-9d32-206e0842a4c5,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
ecb1793a-8744-4477-8919-e86d47f70417,3ab3a45b-36d0-4814-9e72-4ad80984403a,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
a6bb3fcc-18f2-48fd-bdc1-401b98ad6a03,fe314a04-4473-4253-abfa-6b91119e0610,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
b93f421a-0154-4200-b4a0-031bed7090ed,d49dbe54-3ea5-4237-80f5-8c9c44dc75cf,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
bab7379c-014a-4d05-9b69-2f266dc5f29e,27c2887c-60f8-4a7f-89c9-6c7537726c8c,PJ,,2026-03-30T22:38:10+00:00,2026-03-30T22:38:10+00:00
