id,colaborador_id,tipo_contrato,status,notas,created_at
1,c69d05e3-16a6-4c28-b7b0-dd788e8b0b63,PF,inativo,,2026-04-01T15:33:11+00:00
2,ca9becbd-26e5-499e-a596-201860077353,PJ,inativo,,2026-04-01T15:33:11+00:00
3,0809c28e-010d-4397-988a-ac61ff30d8fd,PJ,inativo,,2026-04-01T15:33:11+00:00
4,dd9464f9-5bc1-49e8-a572-9aebdc3694fa,PJ,inativo,,2026-04-01T15:33:11+00:00
5,29f7c8ec-d3bf-456c-b868-ae85779a8329,PF,inativo,,2026-04-01T15:33:11+00:00
6,a53257b4-53ba-45fc-b289-1638d21a9df5,PJ,inativo,,2026-04-01T15:33:11+00:00
7,55b6e1a6-7680-4578-a414-143c9ba6f8d8,W2,inativo,"Salário Anual 71.472,18/ 26 = 2.748,93 x 2 (a maioria dos meses tem duas 6 feiras, sexta sim e não bi weekly)

5.497,86",2026-04-01T15:33:11+00:00
8,636092ec-f326-4835-9678-5d9059450df8,PJ,inativo,,2026-04-01T15:33:11+00:00
9,4b8f2e66-2fb5-46b3-b6a3-70febba9f6e0,PJ,inativo,,2026-04-01T15:33:11+00:00
10,995a5f50-bb18-4509-a08e-2145b437fccc,PJ,inativo,,2026-04-01T15:33:11+00:00
11,ecb6fa52-c067-46e5-908e-ed9b7aaa2f41,PJ,inativo,,2026-04-01T15:33:11+00:00
12,ef7d0bc0-8f89-4561-b650-45114708da0b,PF,inativo,,2026-04-01T15:33:11+00:00
13,c736c414-19e5-4b3b-bd00-0ca5ae639f1f,PJ,inativo,,2026-04-01T15:33:11+00:00
14,a610aa08-d0fe-4689-8c77-a0bfe715e63d,PJ,inativo,,2026-04-01T15:33:11+00:00
15,641aa36d-5201-4b3d-866c-36a69bad377a,W2,ativo,"Salário Anual 245.000/ 26 = 9.423,07 x 2 (a maioria dos meses tem duas 6 feiras, sexta sim e não bi weekly)

18.846,15",2026-04-01T15:33:11+00:00
16,64e40082-7e3b-4d93-9a22-a289bf71066a,PF,inativo,,2026-04-01T15:33:11+00:00
17,658772b7-266a-4e65-a032-c89786d6533c,PF,inativo,,2026-04-01T15:33:11+00:00
18,9d60855e-4766-493d-aac3-0b8699562f99,PF,inativo,,2026-04-01T15:33:11+00:00
19,d1cda6be-6cc4-488b-9375-31921f9d998f,PJ,inativo,,2026-04-01T15:33:11+00:00
20,7a1db41e-8b2c-43ea-a9b7-0c75b1c7a56b,PJ,inativo,,2026-04-01T15:33:11+00:00
21,839f7906-463a-422a-8fb9-9ea55bb8e3c0,PJ,inativo,,2026-04-01T15:33:11+00:00
22,49c260bf-b4c1-4400-bb22-c30ca197abbd,PJ,inativo,"Não possui contrato, foi identificado que ela não tinha contrato na saída dela.

E ela se recusou a assinar, pois já não fazia mais parte da FURIA.",2026-04-01T15:33:11+00:00
23,14242913-6060-4ef2-8d3b-24a1317be7ce,Estágio,inativo,,2026-04-01T15:33:11+00:00
24,707a95ab-689a-4a67-b7dc-92ffb55d41c3,PJ,inativo,,2026-04-01T15:33:11+00:00
25,ea601efe-1507-497b-8840-b5264fa4cb58,PJ,inativo,,2026-04-01T15:33:11+00:00
26,c0b9a836-8904-4700-808c-2c4187577ef1,PJ,inativo,,2026-04-01T15:33:11+00:00
27,200d1db6-b3e7-44bb-8955-e3fab4d377be,W2,inativo,"Salário Anual 36.000 / 26 = 1.384,61 x 2 (a maioria dos meses tem duas 6 feiras, sexta sim e não)

2.769,23",2026-04-01T15:33:11+00:00
28,00f71b01-c55c-4437-a0a7-d95da6ebd5b2,PJ,inativo,,2026-04-01T15:33:11+00:00
29,0f6ad574-cf32-4d8e-9465-d6fcfaf2f921,PF,inativo,,2026-04-01T15:33:11+00:00
30,7fb23ccd-cbb7-450a-9873-a45fccf61123,PJ,inativo,,2026-04-01T15:33:11+00:00
31,7d36dea4-b9b0-4381-b6a0-3eec08d97cf6,PJ,inativo,,2026-04-01T15:33:11+00:00
32,d348287f-b3d5-4d30-a928-948b4f1d61ad,PJ,inativo,,2026-04-01T15:33:11+00:00
33,ab7bfb0d-8b5f-4b16-be0e-189da59656ff,PJ,inativo,,2026-04-01T15:33:11+00:00
34,31ec98e4-6aca-4799-bb44-fb2ba86fdbce,PF,inativo,,2026-04-01T15:33:11+00:00
35,024e2afc-5dc1-4850-8b85-feea328a5a1c,PF,inativo,,2026-04-01T15:33:11+00:00
36,822639e1-5430-4af3-bc3a-d394bb275187,PJ,inativo,,2026-04-01T15:33:11+00:00
37,c5e7f4fc-8ff2-49e2-b690-7c3df959528f,PJ,inativo,,2026-04-01T15:33:11+00:00
38,960f9030-7a96-4660-a72a-9dd6abbf8b08,PJ,inativo,,2026-04-01T15:33:11+00:00
39,3bc1aa15-4b1b-4df1-91e9-01bd0f16c7b4,PF,inativo,,2026-04-01T15:33:11+00:00
40,ec5f37a9-95e5-40d2-be0e-a98a437c4a6e,PF,inativo,,2026-04-01T15:33:11+00:00
41,e2b79f51-b32a-40ea-967e-62e47c283e9f,PJ,inativo,,2026-04-01T15:33:11+00:00
42,1b463220-83f3-48fc-8145-6e973518e4e8,PF,inativo,,2026-04-01T15:33:11+00:00
43,433703d4-aff2-487a-8d71-9ac8e4b94587,PJ,inativo,,2026-04-01T15:33:11+00:00
44,09ddaf73-4a42-42ae-92fa-fc0657d07568,PF,inativo,,2026-04-01T15:33:11+00:00
45,bc371b5a-d35a-4414-bbe9-8e36036b3065,PJ,inativo,,2026-04-01T15:33:11+00:00
46,e7470cba-1927-4b70-83b7-b6a4b1276153,PJ,inativo,,2026-04-01T15:33:11+00:00
47,750b4f8b-1fb8-4228-b961-26a5e4885c55,PJ,inativo,,2026-04-01T15:33:11+00:00
48,c3563a00-f4c3-4a4b-94ce-d20fe908543d,W2,inativo,Possui contrato a partir de 01/08/2023,2026-04-01T15:33:11+00:00
49,71f25b63-d039-4eea-aba2-029a2899ce3f,W2,inativo,,2026-04-01T15:33:11+00:00
50,625e5c21-dded-44a6-9a57-acfbf851ef1b,Estágio,inativo,,2026-04-01T15:33:11+00:00
51,d9e9531a-f801-4c2c-b0ae-1e7214804e0e,PJ,inativo,,2026-04-01T15:33:11+00:00
52,e1afcdca-7dc0-469d-babe-77a945fc80a3,PJ,inativo,,2026-04-01T15:33:11+00:00
53,8c470815-8d23-4400-aa53-a1c8e10c56d0,PJ,inativo,,2026-04-01T15:33:11+00:00
54,740e7304-1e30-4431-8976-262765d93789,PJ,inativo,,2026-04-01T15:33:11+00:00
55,edc1191a-ef25-4c21-aea4-57d99a947e1b,PJ,inativo,,2026-04-01T15:33:11+00:00
56,4f4efdd7-3d1a-4149-ac9a-3889f10b95d5,PJ,inativo,,2026-04-01T15:33:11+00:00
57,2a60e42c-d6a3-49bc-84ea-e9bb062de328,PJ,inativo,,2026-04-01T15:33:11+00:00
58,8417299d-9387-4db0-b5c5-8be5b14611a3,PJ,inativo,,2026-04-01T15:33:11+00:00
59,e10a5ffd-87f8-4fcc-8cdd-0019223d9671,PF,inativo,,2026-04-01T15:33:11+00:00
60,0f530f2b-3e66-4ebb-af90-24dfc9bfa6a3,PF,inativo,,2026-04-01T15:33:11+00:00
