id,nome,created_at
1,Performance,2026-04-01T15:33:09+00:00
2,Produção,2026-04-01T15:33:09+00:00
3,Comercial,2026-04-01T15:33:09+00:00
4,Financeiro,2026-04-01T15:33:09+00:00
5,Design,2026-04-01T15:33:09+00:00
6,CSGO,2026-04-01T15:33:09+00:00
7,Conteúdo,2026-04-01T15:33:09+00:00
8,Jurídico,2026-04-01T15:33:09+00:00
9,People and Culture,2026-04-01T15:33:09+00:00
10,Produtos,2026-04-01T15:33:09+00:00
11,Operações,2026-04-01T15:33:09+00:00
12,Diretoria,2026-04-01T15:33:09+00:00
13,Marketing,2026-04-01T15:33:09+00:00
14,Eventos,2026-04-01T15:33:09+00:00
15,LOL Principal,2026-04-01T15:33:09+00:00
16,Rocket League,2026-04-01T15:33:09+00:00
17,Workplace,2026-04-01T15:33:09+00:00
18,R1,2026-04-01T15:33:09+00:00
19,Free Fire Emulador,2026-04-01T15:33:09+00:00
20,Tecnologia da Informação,2026-04-01T15:33:09+00:00
21,DEI,2026-04-01T15:33:09+00:00
22,Viagens,2026-04-01T15:33:09+00:00
23,Streamer,2026-04-01T15:33:09+00:00
24,Relações Públicas,2026-04-01T15:33:09+00:00
25,Comunidade,2026-04-01T15:33:09+00:00
26,Experience,2026-04-01T15:33:09+00:00
27,US Operações,2026-04-01T15:33:09+00:00
28,FURIA USA,2026-04-01T15:33:09+00:00
29,Apex Legends,2026-04-01T15:33:09+00:00
30,Streamers,2026-04-01T15:33:09+00:00
31,F-society,2026-04-01T15:33:09+00:00
32,Valorant,2026-04-01T15:33:09+00:00
33,R6,2026-04-01T15:33:09+00:00
34,LOL Academy,2026-04-01T15:33:09+00:00
35, CSGO Academy,2026-04-01T15:33:09+00:00
36,CSGO Feminino,2026-04-01T15:33:09+00:00
37,Free Fire,2026-04-01T15:33:09+00:00
38,PUBG Mobile,2026-04-01T15:33:09+00:00
39,Tecnologia e Operações,2026-04-01T15:33:09+00:00
40,Play Care,2026-04-01T15:33:09+00:00
41,EA FC,2026-04-01T15:33:09+00:00
42,Business Intelligence,2026-04-01T15:33:09+00:00
43,Furia FC,2026-04-01T15:33:09+00:00
44,People & Operations,2026-04-01T15:33:09+00:00
45,Valorant Academy,2026-04-01T15:33:09+00:00
46,PUBG,2026-04-01T15:33:09+00:00
47,GTA RP,2026-04-01T15:33:09+00:00
48,Crossfire,2026-04-01T15:33:09+00:00
49,Fortnite,2026-04-01T15:33:09+00:00
