id,nome,created_at
1,Preparação de Jogadores,2026-04-01T15:33:09+00:00
2,Captação Audiovisual,2026-04-01T15:33:09+00:00
3,CSGO Fem & Academy,2026-04-01T15:33:09+00:00
4,Contas e Projetos,2026-04-01T15:33:09+00:00
5,Controladoria,2026-04-01T15:33:09+00:00
6,Roteiros,2026-04-01T15:33:09+00:00
7,CSGO,2026-04-01T15:33:09+00:00
8,Conteúdo Performance,2026-04-01T15:33:09+00:00
9,CSGO Male,2026-04-01T15:33:09+00:00
10,Juridico,2026-04-01T15:33:09+00:00
11,People Experience,2026-04-01T15:33:09+00:00
12,Produtos,2026-04-01T15:33:09+00:00
13,Estratégia,2026-04-01T15:33:09+00:00
14,Conteúdo,2026-04-01T15:33:09+00:00
15,Projetos e Processos,2026-04-01T15:33:09+00:00
16,Criação,2026-04-01T15:33:09+00:00
17,Comercial,2026-04-01T15:33:09+00:00
18,Diretoria Akkari,2026-04-01T15:33:09+00:00
19,Marketing,2026-04-01T15:33:09+00:00
20,Management,2026-04-01T15:33:09+00:00
21,Tesouraria,2026-04-01T15:33:09+00:00
22,People Operations,2026-04-01T15:33:09+00:00
23,Planejamento e M&A,2026-04-01T15:33:09+00:00
24,Eventos,2026-04-01T15:33:09+00:00
25,LoL & LoL Academy,2026-04-01T15:33:09+00:00
26,People and Culture,2026-04-01T15:33:09+00:00
27,Rocket League,2026-04-01T15:33:09+00:00
28,Workplace,2026-04-01T15:33:09+00:00
29,R1,2026-04-01T15:33:09+00:00
30,Diretoria Jaime,2026-04-01T15:33:09+00:00
31,Processos e Automações,2026-04-01T15:33:09+00:00
32,Social Media,2026-04-01T15:33:09+00:00
33,Hospitalidade,2026-04-01T15:33:09+00:00
34,Produção,2026-04-01T15:33:09+00:00
35,FF Emulador,2026-04-01T15:33:09+00:00
36,Facilities,2026-04-01T15:33:09+00:00
37,BI,2026-04-01T15:33:09+00:00
38,Financeiro,2026-04-01T15:33:09+00:00
39,Parcerias e Sucesso do Cliente,2026-04-01T15:33:09+00:00
40,Produção Executiva,2026-04-01T15:33:09+00:00
41,Edição,2026-04-01T15:33:09+00:00
42,TI e Intraestrutura,2026-04-01T15:33:09+00:00
43,Diversidade & Inclusão,2026-04-01T15:33:09+00:00
44,Viagens,2026-04-01T15:33:09+00:00
45,Tradução,2026-04-01T15:33:09+00:00
46,Talentos,2026-04-01T15:33:09+00:00
47,Relações Públicas,2026-04-01T15:33:09+00:00
48,Comunidade,2026-04-01T15:33:09+00:00
49,FURIA Experience,2026-04-01T15:33:09+00:00
50,Us Operações,2026-04-01T15:33:09+00:00
51,FURIA USA,2026-04-01T15:33:09+00:00
52,Apex,2026-04-01T15:33:09+00:00
53,Operações,2026-04-01T15:33:09+00:00
54,Performance,2026-04-01T15:33:09+00:00
55,Performance Staff,2026-04-01T15:33:09+00:00
56,F-society,2026-04-01T15:33:09+00:00
57,Valorant,2026-04-01T15:33:09+00:00
58,LOL Geral,2026-04-01T15:33:09+00:00
59,R6,2026-04-01T15:33:09+00:00
60,CSGO Academy,2026-04-01T15:33:09+00:00
61,CSGO Fem,2026-04-01T15:33:09+00:00
62,Free Fire,2026-04-01T15:33:09+00:00
63,PUBG Mobile,2026-04-01T15:33:09+00:00
64,Tecnologia e Operações,2026-04-01T15:33:09+00:00
65,EA FC,2026-04-01T15:33:09+00:00
66,Furia FC,2026-04-01T15:33:09+00:00
67,Valorant Academy,2026-04-01T15:33:09+00:00
68,PUBG,2026-04-01T15:33:09+00:00
69,MadHouse TV,2026-04-01T15:33:09+00:00
70,Crossfire,2026-04-01T15:33:09+00:00
71,,2026-04-01T15:33:09+00:00
