id,titulo,descricao,created_at,updated_at
bc5d5742-3ee3-40e5-8925-3b7be46a4b6f,[BLOCO 1] ,Mercado,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
c4014e34-26e4-4820-93a7-a52ee6dd27e0,[BLOCO 2],Nossos Clientes,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
ce93a4b4-fef4-4928-88c8-2e928f5ce0e8,[BLOCO 3],NG.CASH,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
08b98e73-5292-4e04-a526-86bd25ed8231,Glossário,Glossário NG.CASH,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
858dd3c2-b1ce-4541-9ebe-ad877b0f7d28,Assinatura E-mail,Assinaturas E-mail NG.CASH,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
be7bb3d9-4bc2-44e7-b265-d92c5334605d,Brandbook,NG.CASH Brandbook,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
3bdbbbba-d8ca-4b8e-9ac7-2df9eb0636c8,Como Marcar Reuniões,Como marcar reuniões no Macropus,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
40cac4da-19c5-436b-b624-2ec705dfa8ca,Cultura NG.CASH,NG.CASH Cultura,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
dfe0c015-515c-438f-aca3-9babc526c907,1. Política de Prevenção à Lavagem de Dinheiro e ao Financiamento do Terrorismo,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
d781e78c-dac8-4909-b1aa-1fd29646b645,Abertura PJ,Como abrir a conta PJ e emissão de NF,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
98b21db2-241e-4d23-9e8f-e6c351f13a48,2. Política de  Prevenção a Fraudes,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
37d57304-2fa2-46db-ae8e-0a08ec9962aa,3. Política de  “KYC- Know Your Client/Customer”  Conheça seu Cliente,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
5bdce295-9f17-4066-8b5f-aceefb4cee63,4. Política de  “KYP - Know Your Partner” Conheça seu Parceiro/Prestador  de Serviços,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
b7080159-7648-493b-ad7a-867a1a7798ce,5. Política de  “KYE - Know Your Employee” Conheça seu Colaborador/  Funcionário,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
f5e0b0ca-81ba-4cb9-8952-833e9614bbea,6. Política de Gestão de Risco Operacional,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
89b4ae74-7384-485c-beaa-a1dc05899d8d,7. Políticas Corporativas Tecnologia da Informação,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
e5f25857-8177-4a08-bee7-d455a012321b,8. Política de  Conformidade/Compliance e  Controles Internos,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
7290f1af-9d3d-4670-927a-53e2254161cb,9. Código de ética,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
b63a5b24-1de3-479d-bb9e-287e445a096e,10. Politica de Auditoria Interna,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
5bb4462d-e7f7-43ec-b8cd-7b53420a19bf,Treinamento de GRC - OBRIGATÓRIO,"Link para o teste de GRC:

[https://forms.gle/LbZFZF9sEjKQpzGV9](https://forms.gle/LbZFZF9sEjKQpzGV9)",2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
5742f755-5d6e-4a2f-aae0-ebc160cf2ea2,Vídeo Onboarding Safe Space,Vídeo de Onboarding do nosso canal de denúncia - SafeSpace,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
aa04bc3a-f158-4e9a-9635-836261ca5602,PPT Onboarding Canal de Denúncia,Passo a passo de como fazer uma denúncia no Safe Space,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
e66b0da0-39f0-42d3-a612-2778c8853ff3,12. GCN,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
7ff17637-10bd-4820-95b6-90c9b0afd4fb,13. Plano de Contingência de Liquidez,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
72ff7635-79a9-4fd7-96f4-d54ef3f9f731,14. Política de Gestão de Risco de Liquidez,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
77b4b5da-b096-406c-b2c5-fdc0bedc1014,15. Política de Privacidade e Cookies,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
9b44afde-4851-4697-bd5d-755f0280f2a9,Linear Guide,"Guia pratico de utilização do Linear para NG.

[https://product-ngcash.notion.site/Linear-Guide-0c6b77a532324959ba8ede37f35bda7b](https://product-ngcash.notion.site/Linear-Guide-0c6b77a532324959ba8ede37f35bda7b)",2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
ae4f43d2-ac36-4457-96c6-796c98ff5f41,Programa de Indicação,Confere aqui as regras e as premiações do nosso programa de indicação.,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
4a605f06-b7b6-46e1-a025-8c8f368fcbac,Sigma,"Guia pratico de utilização do Sigma para NG.

  

https://drive.google.com/drive/folders/1dBHip9WO3JC5rUWePvkl1C9-Ec\_x4K19",2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
40a299fd-3b7d-45db-a18b-a95042a8edda,Segurança da Informação ,Segurança da Informação: Gestão de dispositivos de trabalho,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
e914aa2e-c625-4cfb-b79f-373b2d44725c, Conteúdo Segurança da Informação e Proteção de Dados,Vídeo do treinamento de Segurança da Informação e Proteção de Dados.,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
8f8d0c1d-5f2c-4e78-84dc-e1b009afba36,Treinamento de  Segurança da Informação e Proteção de Dados,Formulário de treinamento de Segurança da Informação e Proteção de Dados.,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
bab787f4-f45a-48ca-b525-59dd197a0ac2,Personas NG.CASH 2024,Estudo de Personas NG.CASH 2024.,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
01f45685-364b-4f97-b704-378616f89c5e,Política de Segurança da Informação,,2026-03-30T23:04:07+00:00,2026-03-30T23:04:07+00:00
