id,colaborador_profile_id,lider_profile_id,periodo_aquisitivo_id,tipo_solicitacao,categoria_solicitacao,inicio_ferias,fim_ferias,data_solicitacao,dias_selecionados,dias_uteis,status_solicitacao,deseja_vender,dias_vendidos,deseja_adiantamento_13,justificativa,aviso_ferias_path,recibo_ferias_path,inclusao_retroativa,aprovador_profile_id,created_at,updated_at
6da29890-f6c1-4826-8549-24f34de61add,,,63fd4ccd-3708-4158-bab2-edf13cc01550,Ausência,individual,2024-11-25,2024-12-09,2024-05-07,15,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
54180aaa-8f1c-42a2-8fd0-db4cb07bd63b,,,958ee932-860a-49f0-88ea-7838e9a15260,Ausência,individual,2024-06-25,2024-07-04,2024-03-15,10,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
5740d55f-9b93-4b7b-a5d7-449b942b4fa1,,,958ee932-860a-49f0-88ea-7838e9a15260,Ausência,individual,2024-09-23,2024-09-27,2024-03-15,5,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
c1d1f01a-a81e-4bb0-81d9-cb62d2f762c0,,,f5c04e1e-eb49-4642-92bf-e771165a336e,Ausência,individual,2024-09-02,2024-10-01,2024-03-26,30,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
bfb9d77e-cd96-4faa-9b41-3cc2c2aae9d7,,,344563ca-1476-4738-9386-2670916d7033,Ausência,individual,2024-05-27,2024-05-31,2024-03-25,5,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
8789e981-d1f7-448e-883f-38f992f94c66,,,f3c80555-034e-49d3-859b-f938764273ce,Ausência,individual,2024-10-07,2024-10-21,2024-03-26,15,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
f4c8eef2-7ded-442e-87d6-a6863ee49966,,,0035fe1d-5109-4b5d-be6e-2cc5e2d1011b,Ausência,individual,2024-06-25,2024-07-09,2024-05-21,15,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
7a236164-a47b-4495-956d-5b9ef0c4e901,,,b3cfb3ce-f373-4c5b-bbe0-649e8ee33a01,Ausência,individual,2024-09-10,2024-10-09,2024-05-17,30,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
fb3eb2d9-be11-486a-aca7-b169f40d66f4,,,ed3651d3-ab83-44db-abf4-15eb30931d2d,Ausência,individual,2024-06-25,2024-06-29,2024-05-16,5,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
da943914-0562-49bc-a9bb-405f31740f00,,,ed3651d3-ab83-44db-abf4-15eb30931d2d,Ausência,individual,2024-09-17,2024-10-01,2024-03-10,15,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
34c5f9ad-5352-48bf-b39c-cc6a10284f17,,,38e1c282-149e-42e1-98f5-f0e604c9656a,Ausência,individual,2024-08-05,2024-08-14,2024-02-26,10,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
271e2f50-7400-42c2-9ae0-349b53d6a7dc,,,38e1c282-149e-42e1-98f5-f0e604c9656a,Ausência,individual,2024-11-11,2024-11-25,2024-02-26,15,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
7aa5d155-125d-4158-a863-992c7c103c94,,,03f9949a-8fa2-4aad-8647-ba3623172568,Ausência,individual,2024-05-06,2024-05-20,2024-03-18,15,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
4df9c6d8-64a9-4f2b-9ead-c1c792246406,,,0165bff3-5f6a-45e0-b1eb-ef67d909bfa8,Ausência,individual,2024-05-27,2024-06-15,2024-03-18,20,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
6adcf45a-3ca6-4839-936a-446231ce901d,,,32e71e55-1f42-45bb-98d8-d1328d8ae256,Ausência,individual,2024-06-25,2024-07-04,2024-03-26,10,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
67d4cefc-af2c-4200-be1b-2cefe05873eb,,,89342ad3-3735-4401-bd28-af00e8df7cdd,Ausência,individual,2024-05-06,2024-05-24,2024-03-20,19,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
a12b4473-13e2-4451-8db1-b4b0ea638820,,,5c386c27-2683-421b-8616-c1ca03ec3503,Ausência,individual,2024-05-27,2024-06-10,2024-03-18,15,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
e393c4f5-6269-4d38-918f-4afe0d2e3da6,,,5c386c27-2683-421b-8616-c1ca03ec3503,Ausência,individual,2024-09-23,2024-10-07,2024-03-18,15,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
610b29b9-6276-49ea-85d5-c2b71a6743f1,,,020f3e16-97dc-4470-a37b-81662425e59b,Ausência,individual,2024-06-11,2024-06-20,2024-03-28,10,,Férias usufruídas,false,0,false,férias 1 de 2,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
1555c0a9-7373-48cb-aacb-a368ec9804e8,,,020f3e16-97dc-4470-a37b-81662425e59b,Ausência,individual,2024-08-19,2024-09-07,2024-03-28,20,,Férias usufruídas,false,0,false,ferias,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
17af5162-c01d-4a07-a895-a4b02dfdf007,,,d52cdad8-ec00-4e68-a3f1-e9fc3e251f3a,Ausência,individual,2024-07-24,2024-07-31,2024-04-25,8,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
52b4f86b-ddb2-4423-9b88-ade1e03aba36,,,e218fc83-cee3-4871-893f-eb080d9b11bf,Ausência,individual,2024-06-10,2024-06-14,2024-01-30,5,,Férias usufruídas,false,0,false,Viagem,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
9cffbc3a-a2b2-4307-aaa7-af333144de32,,,abd4cffd-e52d-40c9-abe6-a9c4c05e0d0d,Ausência,individual,2024-07-15,2024-08-03,2024-02-08,20,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
e16b97e1-c049-482d-be6f-c30c903ff7f1,,,0182874b-89dd-4a58-8681-5c6bb09e3dcf,Ausência,individual,2024-07-15,2024-08-13,2024-03-22,30,,Férias usufruídas,false,0,false,Só uma data no meio do ano.,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
f4d5917c-3ae2-4772-b54d-e3480618bfa4,,,1208989e-dfa3-4457-887e-330b4dcda017,Ausência,individual,2024-08-05,2024-08-19,2024-04-23,15,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
2d9edb62-c532-4ea6-991d-3e7aabae6ddc,,,5abd425a-460f-410a-b5b7-674a1e79b009,Ausência,individual,2024-08-05,2024-08-23,2024-03-18,19,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
34d43c17-a362-44d6-b801-96fa380d32a9,,,5abd425a-460f-410a-b5b7-674a1e79b009,Ausência,individual,2024-11-11,2024-11-21,2024-03-18,11,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
b26d919d-e801-4ef3-a19a-812fcb02854e,,,cb4de34d-a1c7-40c4-addd-439c17c5f39c,Ausência,individual,2024-05-20,2024-06-07,2024-04-05,19,,Férias usufruídas,false,0,false,Não informado,,,false,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
