id,nome,ano,tipo,classificacao,data,data_final,created_at,updated_at
20cc85a4-755b-4bf3-8e71-9284efc182b8,Confraternização Universal,2025,Universal,Universal,2025-01-01,2025-01-01,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
04bb19a4-4826-4004-8a03-ccb4fcac3a44,Segunda de Carnaval (Ponto Facultativo),2025,Municipal,Municipal,2025-03-03,2025-03-03,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
57af2fa4-1c3e-4e8d-b5c0-50e31eeb57a7,Terça de Carnaval (Ponto Facultativo),2025,Municipal,Municipal,2025-03-04,2025-03-04,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
6a56dc47-0a4b-4d1f-a8ff-808019e32797,Quarta-feira de Cinzas ,2025,Municipal,Municipal,2025-03-05,2025-03-05,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
a807a5f2-bfe9-42dd-b63f-55c0a59fefb7,Paixão de Cristo ,2025,Nacional,Nacional,2025-04-18,2025-04-18,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
22939311-97fe-417c-b6c1-e2fe0bb5b96d,Páscoa ,2025,Nacional,Nacional,2025-04-20,2025-04-20,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
f64a0a59-86b7-4e10-a264-adc426cad938,Tiradentes,2025,Nacional,Nacional,2025-04-21,2025-04-21,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
39e1fd5e-5471-440f-b5b4-1a04653b1349,Dia do Trabalhador,2025,Nacional,Nacional,2025-05-01,2025-05-01,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
7c495032-3c52-41a3-9825-1a9ff12069c0,Corpus Christi ,2025,Municipal,Municipal,2025-06-19,2025-06-19,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
028e3509-4697-4913-a7f8-e0e00bde29ec,São João,2025,Municipal,Municipal,2025-06-24,2025-06-24,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
64c86d3d-3d8a-444d-b583-44c53cd6c5ad,Independência da Bahia,2025,Estadual,Estadual,2025-07-02,2025-07-02,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
fdb5fe00-4148-4c20-8e88-37726e7b8006,Independência do Brasil,2025,Nacional,Nacional,2025-09-07,2025-09-07,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
c2724613-7e9a-4509-addc-682a9d8ab5be,Nossa Senhora Aparecida,2025,Nacional,Nacional,2025-10-12,2025-10-12,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
a454655f-abea-42b0-876f-116fc2532f33,Finados,2025,Nacional,Nacional,2025-11-02,2025-11-02,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
61fce27b-c93a-4ba8-ac30-c2bac2bfb7b7,Proclamação da República,2025,Nacional,Nacional,2025-11-15,2025-11-15,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
dba06a86-84e5-4ac7-a5d8-f23c2312c15e,Dia Nacional da Consciência Negra,2025,Nacional,Nacional,2025-11-20,2025-11-20,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
fdfdd1db-86b9-4d75-b15c-17b53621351c,Conceição da Praia,2025,Municipal,Municipal,2025-12-08,2025-12-08,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
d207ee3e-33e2-48bb-93c4-38448d031ec5,Véspera do Natal,2025,Ponto Facultativo,Ponto Facultativo,2025-12-24,2025-12-24,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
73de2b3c-f691-423f-8c6c-ca5b9b459c07,Natal,2025,Nacional,Nacional,2025-12-25,2025-12-25,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
b2745ad3-65fb-4f3b-8770-11b47fbbd01d,Véspera do Ano Novo,2025,Ponto Facultativo,Ponto Facultativo,2025-12-31,2025-12-31,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
6c93e885-46b1-4144-a449-be6d87651366,Dia da mulher,2025,Comemorativa,Comemorativa,2025-03-08,2025-03-08,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
865a0c4f-2e0a-422d-8221-977bcd180511,Dia das mães,2025,Comemorativa,Comemorativa,2025-05-11,2025-05-11,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
1ae4cdad-15f3-4316-92ef-d1caf7d93689,Dia dos Namorados,2025,Comemorativa,Comemorativa,2025-06-12,2025-06-12,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
287150bf-cb2f-4104-b02e-8ddd99c4d0be,Dia da Mulher Negra Latino Americana,2025,Comemorativa,Comemorativa,2025-07-25,2025-07-25,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
d7d02dc0-b27e-45c5-8283-2f3702f75404,Aniversário Cubos,2025,Comemorativa,Comemorativa,2025-07-26,2025-07-26,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
82ceff53-96f4-4736-bd0c-6dc7de8c696d,Dia dos Pais,2025,Comemorativa,Comemorativa,2025-08-10,2025-08-10,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
2a6330c6-3284-4a87-a570-7f8b306bfea8,Dia do Estagiário,2025,Comemorativa,Comemorativa,2025-08-15,2025-08-15,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
312d639d-ab3f-4bcf-a6ff-eb46d44d13e0,Dia do Programador,2025,Comemorativa,Comemorativa,2025-09-12,2025-09-12,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
b6e48324-70ef-47b9-a6b8-b781894c2537,Dia do Design,2025,Comemorativa,Comemorativa,2025-11-05,2025-11-05,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
01613f8a-c5df-4e1c-ad94-9b76d92a3c4b,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-01-17,2025-01-17,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
86da5750-377b-4a70-b1a1-116349aa35aa,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-01-31,2025-01-31,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
22d8437f-d1dd-4099-b074-5e489bb4dbb2,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-02-14,2025-02-14,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
59f12eea-8703-453f-98a2-e8c05b5bb2c5,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-02-28,2025-02-28,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
13076051-7f3c-4e7c-bbc3-0b1043b097e5,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-03-14,2025-03-14,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
71b2e48e-b281-4fb0-8373-a4572010186b,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-03-28,2025-03-28,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
3f72ad96-050b-4237-99bd-8df84e4b3138,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-04-17,2025-04-17,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
d9bfcd8d-62cc-46c6-b4b3-0564836c725e,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-05-16,2025-05-16,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
60004704-46d3-478e-bb84-6b9e332b81c7,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-05-30,2025-05-30,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
57aa51e0-fff5-4ddc-8b57-4bc15933d63e,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-06-27,2025-06-27,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
0545670b-ab28-4ed1-8eca-ccd6980f4acb,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-07-11,2025-07-11,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
