id,colaborador_profile_id,ciclo,area,status,trofeu_esponja_id,trofeu_saiu_da_caixa_id,trofeu_nao_tem_medo_id,trofeu_cerejinha_id,trofeu_maestria_id,created_at,updated_at
e7be53b8-b381-4c60-893c-1ad1732d293b,,,DevOps,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
77823002-0229-4415-be33-44d2029794d4,,,DevOps,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
be770d4e-0edd-46da-bcc7-098bf6ac37a4,,,,Em branco,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
0d8bc4ba-7930-4911-8a40-33d540a29da9,,,,Em branco,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
fec52672-79bb-4da2-bfde-4c20980caf4c,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
e112f31c-dd3e-49e3-bc90-0c7832c4856f,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
5d5593db-682d-4019-8fad-7eb0da0d3214,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
bf17d578-15a1-4e35-86e4-6f6ab23d2ac1,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
e756dee1-bdfc-4b9d-8dde-aaf5e5f7dc7d,,,,Em branco,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
dc7bcbb7-74dd-4920-b6a2-a4c1349da392,,,,Em branco,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
0ed2a115-43e3-4209-ae6a-3585625f3541,,,Backoffice,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
d7c192e3-95ad-44da-9777-8e6e85e2e300,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
34848a92-ea24-48d9-9fa7-19e66f7257c1,,,,Em branco,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
fa3ab603-3636-4aa6-ae8f-2aebe1f158a3,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
bd4f643f-05f0-4ca1-9b84-f82e71702255,,,DevOps,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
c3bbde5c-3d06-45b1-b45f-940482165114,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
cd453abc-fd6e-4fc2-ab1b-ec70ce59fed9,,,Backoffice,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
e6c25083-f5a2-4602-b008-872dccd59874,,,Backoffice,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
4f5e8060-54a5-4e7b-b747-4165cafa6e00,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
