id,beneficio_id,pessoa_id,valor_beneficio_id,data_adesao,data_termino,status_adesao,observacoes,migracoes_programadas,dependente_ids,dependentes,created_at,updated_at
d1eec077-f605-4cd5-8aad-2c2c9eba7978,92c10d66-0ff1-4c54-a61f-2582afb181b6,,,2024-11-25,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
33052d05-4785-48c6-91fb-40d1956eb82d,92c10d66-0ff1-4c54-a61f-2582afb181b6,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
df7c6a3f-dcfa-4251-807e-0a6041eb8177,370d6c9b-e642-4688-b3f1-9ce9a67d0fa4,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
6cc4753b-977c-442f-81cc-1a7f3d2783d0,4d505fbe-d703-4eee-83e1-05752f8c09b7,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
3b68c3bc-719a-428f-a81b-02383cb0f38a,b6456478-d4d7-401c-b101-492fdfd80cda,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
9d89222b-4a91-414c-a6eb-e93460a1135d,f6a3b54f-b59e-4c91-9707-18e1566874dd,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
6cc4ae5c-7082-4639-9c40-a2e3b7a052b0,2259c12a-d6d2-44e5-8332-33e7c36d6aba,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
077fb456-fea8-496c-8aef-e982328e7aa9,b282a7de-fc6e-4622-b8ac-b5e5e47b9dfa,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
f4dc775f-2852-4971-8b37-d87a8ca701ef,a532be44-50e8-4246-a1f2-3e05ef8343b0,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
4d18b901-444d-490b-b43c-320248459224,9633e501-dd01-4110-bcfb-02cd4df9555d,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
44fcfbcc-d36e-41b2-83bf-74e01adce764,3c196871-96d4-4300-9134-f06214367abe,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
fb945909-40a3-4305-98c2-875a00bfdcb3,f6a3b54f-b59e-4c91-9707-18e1566874dd,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
adf80b76-4916-4bb8-a567-922c5be0d5ce,b6456478-d4d7-401c-b101-492fdfd80cda,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
cf69dd26-f0eb-4ae8-82bb-b50fb3598486,4d505fbe-d703-4eee-83e1-05752f8c09b7,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
7b687b75-f6cb-488f-ad30-3d64a87e6f24,2259c12a-d6d2-44e5-8332-33e7c36d6aba,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
a54650da-3fa1-4af9-b982-9e7be5df70fb,b282a7de-fc6e-4622-b8ac-b5e5e47b9dfa,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
7f79761b-86ea-4234-89ec-870d1a83a544,a532be44-50e8-4246-a1f2-3e05ef8343b0,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
0999bdbc-3cdf-4824-940b-bde3c3cd006b,370d6c9b-e642-4688-b3f1-9ce9a67d0fa4,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
78c35376-5cdd-429e-bd5d-3013ff015cb8,92c10d66-0ff1-4c54-a61f-2582afb181b6,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
2fc6861c-a976-41f5-8112-861e327a75d4,9633e501-dd01-4110-bcfb-02cd4df9555d,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
034601ad-91b4-47e1-a8a7-c9a03683b82b,3c196871-96d4-4300-9134-f06214367abe,,,2025-01-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
b29a81a0-9e23-4369-b17b-f829a43a9ce3,92c10d66-0ff1-4c54-a61f-2582afb181b6,,,2025-02-19,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
f3411aa2-add3-47be-b475-79520020aed9,370d6c9b-e642-4688-b3f1-9ce9a67d0fa4,,,2025-02-19,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
d35a6e79-c1bb-46d6-b409-23b015487484,4d505fbe-d703-4eee-83e1-05752f8c09b7,,,2025-02-19,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
c5d4a26e-a138-48aa-b14a-500d799b9b7d,b6456478-d4d7-401c-b101-492fdfd80cda,,,2025-02-19,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
70071b3c-32f2-48b9-9276-a5c4555715b8,f6a3b54f-b59e-4c91-9707-18e1566874dd,,,2025-02-19,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
27c6fb24-6543-480d-bd35-89bebe2a2ce7,2259c12a-d6d2-44e5-8332-33e7c36d6aba,,,2025-02-19,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
06e5e68c-5117-4aca-b17d-a3b7e1a190a3,b282a7de-fc6e-4622-b8ac-b5e5e47b9dfa,,,2025-02-19,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
e6671f1d-e884-43d7-909a-258db967d622,a532be44-50e8-4246-a1f2-3e05ef8343b0,,,2025-02-19,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
50b3d730-6944-40ad-8c86-ec296ef17f16,9633e501-dd01-4110-bcfb-02cd4df9555d,,,2025-02-19,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
1034cb03-009e-469a-9fcb-2ce67ea754d0,3c196871-96d4-4300-9134-f06214367abe,,,2025-02-19,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
ddf32ac8-a7e4-4b10-9318-817af13f1452,92c10d66-0ff1-4c54-a61f-2582afb181b6,,,2025-03-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
1f7f8961-83ce-455e-9539-0b49c4a700dd,370d6c9b-e642-4688-b3f1-9ce9a67d0fa4,,,2025-03-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
e36e41b8-62b3-47e0-a5b7-6b85f101c0a2,4d505fbe-d703-4eee-83e1-05752f8c09b7,,,2025-03-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
8a2435da-16ad-4316-93c8-87c4c80d68aa,b6456478-d4d7-401c-b101-492fdfd80cda,,,2025-03-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
c85b8711-3c5b-4b76-b2ae-f8c790431041,f6a3b54f-b59e-4c91-9707-18e1566874dd,,,2025-03-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
c7242b54-3a48-427a-ab9f-901525258e1f,2259c12a-d6d2-44e5-8332-33e7c36d6aba,,,2025-03-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
bb16f25a-ab96-466a-8928-37bbdf5fdcfb,b282a7de-fc6e-4622-b8ac-b5e5e47b9dfa,,,2025-03-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
0f503b64-3d35-41fb-a8ee-5b6725a856e0,a532be44-50e8-4246-a1f2-3e05ef8343b0,,,2025-03-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
e142c7dd-87dc-4fbc-a891-4c22d62ccca4,9633e501-dd01-4110-bcfb-02cd4df9555d,,,2025-03-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
8862feb9-f284-4daf-a669-362a6297599e,3c196871-96d4-4300-9134-f06214367abe,,,2025-03-06,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
fcba01ed-5d5d-4f4b-9fae-8a0993768f86,92c10d66-0ff1-4c54-a61f-2582afb181b6,,,2025-04-22,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
848b09fb-1e65-4804-9637-0b3af35540e6,370d6c9b-e642-4688-b3f1-9ce9a67d0fa4,,,2025-04-22,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
3d9127ff-eff5-4618-9ad1-badcbe7afeb4,4d505fbe-d703-4eee-83e1-05752f8c09b7,,,2025-04-22,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
ff19b054-7e2c-47df-8c1d-1b7036cd74d3,b6456478-d4d7-401c-b101-492fdfd80cda,,,2025-04-22,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
90f5b425-f187-4313-a6d6-de0f3dce8562,f6a3b54f-b59e-4c91-9707-18e1566874dd,,,2025-04-22,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
30c5f934-f13c-46fb-94de-ba1ebec6eff6,2259c12a-d6d2-44e5-8332-33e7c36d6aba,,,2025-04-22,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
f7e72eaa-5424-4cb4-86a4-d953cb4cb749,b282a7de-fc6e-4622-b8ac-b5e5e47b9dfa,,,2025-04-22,,ativa,,[],{},[],2026-03-31T15:42:08+00:00,2026-03-31T15:42:08+00:00
