id,mes,ano,status,created_at,updated_at
787b876e-b551-4938-8e26-edba068b382d,6,2024,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
b8f77eba-112a-4648-b28d-8ab5926b739d,7,2024,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
0d0562a6-43df-474c-9457-51587023b922,8,2024,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
b6883096-1096-4426-b8ac-d4d7f919789c,9,2024,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
8fd90473-a21d-4a45-81c5-66d3781089c7,10,2024,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
e72acbb8-d725-4f54-b6d7-0ca6e9d32dea,11,2024,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
69eccd69-1a3b-4ba0-9f44-eae3d8a62127,12,2024,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
19236592-ad93-403b-a5bc-f065d13108ef,1,2025,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
0a5dbd13-b655-421c-952a-50d8fc739505,2,2025,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
ab3d6439-166f-489a-9daf-99588c78f321,3,2025,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
c45fc9cc-6e83-43ce-bde5-9c01bb3ea8b7,4,2025,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
91746117-34cf-4cdf-9a13-c90e3d5306ca,5,2025,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
1608f2b8-b248-49ac-9891-c79bddaefa39,6,2025,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
9f885012-baa2-484a-8ff3-f09ecd663f1b,7,2025,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
3488b1f0-f765-4dd4-95f6-759638936468,8,2025,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
305f47b9-d76f-48f9-a59f-eac191acd010,9,2025,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
964f9ec7-9d29-4b5b-8b28-711f969e5776,10,2025,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
4f43fbd9-001a-4cb8-bd6d-168c7eb9d3b6,11,2025,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
b19a5494-840f-455d-a27e-16d94e9303f3,12,2025,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
778b8423-a1c9-4d16-9b1b-b7b7fe4a9ca5,1,2026,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
30d19367-4504-4b18-bc6d-520ce871c634,2,2026,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
9a06fc93-eb69-4967-85ba-f082cf79b110,3,2026,fechado,2026-03-31T01:37:05+00:00,2026-03-31T01:37:05+00:00
