id,created_at,nome
f457ae05-1870-4d34-b2ba-6fc309105ff2,2026-04-06T13:18:24+00:00,CX
cae16132-8f4e-4216-a17c-d5bef203a29c,2026-04-06T13:18:24+00:00,Tools
ad2721d6-d510-4002-9210-ae43e57b635a,2026-04-06T13:18:24+00:00,Pessoas & Facilities
66d820b4-5b50-49e0-90b7-ec354eba386e,2026-04-06T13:18:24+00:00,Projetos
23b6bc83-89bd-4fe5-8423-50312ea11995,2026-04-06T13:18:24+00:00,Marketing
5c7e7346-a607-4167-a591-3d304e471d81,2026-04-06T13:18:24+00:00,Club
7b53170f-45e6-45a1-9342-afcfd17413c3,2026-04-06T13:18:24+00:00,
79af3cad-0215-4dd1-bf30-fc4a3d65d018,2026-04-06T13:18:24+00:00,
265bcbb7-2787-4806-a32f-ce7a9f130bca,2026-04-06T13:18:24+00:00,Produtos
30521479-3c9a-43b1-8560-a12b839d6220,2026-04-06T13:18:24+00:00,
ea391d44-3076-4e74-abfb-564530076c37,2026-04-06T13:18:24+00:00,Mentor Experience
a1cc89fb-d50a-4853-83ba-76f8b71162d8,2026-04-06T13:18:24+00:00,
73e55640-10fc-42b6-b40e-78b560047aff,2026-04-06T13:18:24+00:00,
0d9b4f94-7b84-44ca-babb-9c6342b221c8,2026-04-06T13:18:24+00:00,Business Ops
47c2b493-f902-4350-8898-e6f81ab5a459,2026-04-06T13:18:24+00:00,Comercial
c15ec03f-16cc-4cc8-a806-62c527a7172a,2026-04-06T13:18:24+00:00,
a64916d3-2739-4904-ba9f-d7f320cd6d42,2026-04-06T13:18:24+00:00,Gestão
fdee8b58-5347-48fd-8f54-de3c7a544f4c,2026-04-06T13:18:24+00:00,Tech
1806322f-2f94-4756-9297-cb54cec703ba,2026-04-06T13:18:24+00:00,
dbf29a93-c3a9-4a6b-9a97-82947527e3ec,2026-04-06T13:18:24+00:00,
a835d1c3-df5b-48ed-92c7-325e2100f491,2026-04-06T13:18:24+00:00,Operação da BU
78865ffa-e719-43a3-aec8-06692b1d815b,2026-04-06T13:18:24+00:00,
69d018b3-a74a-4d72-91c3-20afd10965c8,2026-04-06T13:18:24+00:00,Eventos e Parcerias
1f6518e2-b0bc-4520-bd42-0940e2194919,2026-04-06T13:18:24+00:00,
b0daafd7-6920-4a8e-aba0-7800ab2f0a9e,2026-04-06T13:18:24+00:00,
40d6b814-48c7-4815-8228-e31906704db0,2026-04-06T13:18:24+00:00,Planning & Performance
0f60273e-8857-4644-8be4-fc6c3bb8fb7d,2026-04-06T13:18:24+00:00,Adm. Fin. e Jurídico
32e75b2c-1cee-4d75-b5b4-171489b2eff1,2026-04-06T13:18:24+00:00,
cf16e525-41c9-407e-b39b-cf09153a8056,2026-04-06T13:18:24+00:00,
d71a7514-8362-4090-b5c0-41337c9ff901,2026-04-06T13:18:24+00:00,Business Development
6ad6ef48-a6cd-4186-9aab-021ac63aec93,2026-04-06T13:18:24+00:00,
e98b0ceb-0f20-4b2e-827e-91851596c0b2,2026-04-06T13:18:24+00:00,
f26d41ed-41c0-4cac-a449-037e27905711,2026-04-06T13:18:24+00:00,
