id,created_at,nome
a2b559c6-82d2-464b-ba47-a0e6a506b4e8,2026-04-06T13:18:25+00:00,ALL BLACKS
3b270cbb-29a4-457f-b6c5-2bd69faf3129,2026-04-06T13:18:25+00:00,BLACK PANTHERS
1e8ecf9a-18fa-4db9-b20f-f9615902807a,2026-04-06T13:18:25+00:00,BULLDOGS
d7511678-c543-4479-917b-863f82f8b09d,2026-04-06T13:18:25+00:00,CLUB
0835c168-c3a1-4d59-bcde-c636dfff44c7,2026-04-06T13:18:25+00:00,COBRANÇA
c7125857-423d-4846-98da-cbed7257ee9c,2026-04-06T13:18:25+00:00,COBRAS FUMANTES
9866fc76-3524-4c7c-bd30-fec0063522ca,2026-04-06T13:18:25+00:00,COMERCIAL
43119c7b-b214-495f-84e1-ec10ab38195e,2026-04-06T13:18:25+00:00,COMPRAS
82321b60-225f-4b68-b69b-480a510a66d4,2026-04-06T13:18:25+00:00,CONTABILIDADE
ed4a2303-e580-412c-ac56-ffb231cb74a2,2026-04-06T13:18:25+00:00,CONTAS A PAGAR
1ae74aba-7f1f-465e-b536-90258463e91f,2026-04-06T13:18:25+00:00,CONTAS A RECEBER
277a5f00-81cf-4fc3-8264-d7a3745770dd,2026-04-06T13:18:25+00:00,CUSTOMER EXPERIENCE
505f8aa2-d92f-414b-a804-353225b59555,2026-04-06T13:18:25+00:00,CUSTOMER SUCESS
950df575-5666-433a-869b-41ccb439c2ef,2026-04-06T13:18:25+00:00,CYBER SECURITY
b3cebd0b-bc60-4206-a9aa-34a2cd224002,2026-04-06T13:18:25+00:00,Desenvolvimento & Cultura
10e544c0-a3ae-4711-8f4c-f0ec5d559019,2026-04-06T13:18:25+00:00,EAGLES
ff4fe603-cbe7-4131-9b74-53115775accc,2026-04-06T13:18:25+00:00,ENGENHARIA DE SOFTWARE - GESTÃO
b26e31bb-b148-4e46-b801-3cad3ff684b9,2026-04-06T13:18:25+00:00,ENGENHARIA DE SOFTWARE - SQUAD DE PLATAFORMA (IDP)
034cf704-4780-4685-aaac-f68605b04b4a,2026-04-06T13:18:25+00:00,ENGENHARIA DE SOFTWARE - SQUAD PRODUTOS EXTERNOS
6c528515-ded4-4d69-b324-6db03873c55b,2026-04-06T13:18:25+00:00,ENGENHARIA DE SOFTWARE - SQUAD PRODUTOS INTERNOS
a9d986be-25c5-4242-b499-3cddd6a37b44,2026-04-06T13:18:25+00:00,EVENTOS | IMERSÕES
fe74ed9e-10d8-49e5-b327-45445b0a2da5,2026-04-06T13:18:25+00:00,EVENTOS E PARCERIAS
