id,objective_id,title,description,type,baseline,target,current_value,progress,health,health_override,dependencies,is_external_dependency,sort_order,created_at,updated_at
468aa779-f9c0-4e53-8a08-19507604ce03,b41c80e4-0631-470d-a95d-74f2664e578b,Matheus,,metrica,0.0,630000.0,745350.0,100.0,verde,False,[],False,0,2026-03-31T15:00:05+00:00,2026-03-31T15:00:05+00:00
57a3fc40-4fcc-4f8c-9e54-db165145e306,b41c80e4-0631-470d-a95d-74f2664e578b,Lucas,,metrica,0.0,540000.0,451373.0,83.0,verde,False,[],False,0,2026-03-31T15:00:05+00:00,2026-03-31T15:00:05+00:00
cc138912-34e6-4306-8463-1f2d64a67501,b41c80e4-0631-470d-a95d-74f2664e578b,Pedro,,metrica,0.0,540000.0,812733.0,100.0,verde,False,[],False,0,2026-03-31T15:00:05+00:00,2026-03-31T15:00:05+00:00
99f044b8-532a-42df-a1f5-2001816f1b31,b41c80e4-0631-470d-a95d-74f2664e578b,Total,,metrica,0.0,1710000.0,1897283.0,100.0,verde,False,[],False,0,2026-03-31T15:00:05+00:00,2026-03-31T15:00:05+00:00
24e08436-667d-44eb-ae6f-2c3f5a52a668,f1aa091a-8d8b-4a58-a3c4-c27ccb8eb123,Cases,,metrica,0.0,6.0,5.0,83.0,verde,False,[],False,0,2026-03-31T15:00:05+00:00,2026-03-31T15:00:05+00:00
d47c956a-df1b-4e19-8336-ac5d9a3889f9,f1aa091a-8d8b-4a58-a3c4-c27ccb8eb123,"Trilhas para auxiliar CS, Vendas e Pre-Vendas",,metrica,0.0,9.0,5.0,55.0,verde,False,[],False,0,2026-03-31T15:00:05+00:00,2026-03-31T15:00:05+00:00
dd8b0311-f958-4f58-878d-47a9ca0e27ef,f1aa091a-8d8b-4a58-a3c4-c27ccb8eb123,Cases,,metrica,0.0,6.0,5.0,83.0,verde,False,[],False,0,2026-03-31T15:00:05+00:00,2026-03-31T15:00:05+00:00
8d367898-cad6-4721-b735-ab33fe301c32,aac44336-53bb-4898-ad7e-27e518363915,2 webinars,,metrica,0.0,2.0,2.0,100.0,verde,False,[],False,0,2026-03-31T15:00:05+00:00,2026-03-31T15:00:05+00:00
a1a163dc-ad3c-478e-be17-f1f7fa0a3bd5,aac44336-53bb-4898-ad7e-27e518363915,2 webinars,,metrica,0.0,2.0,2.0,100.0,verde,False,[],False,0,2026-03-31T15:00:05+00:00,2026-03-31T15:00:05+00:00
98fd6076-6a08-4818-8a6b-111b7826a7c7,316d3b62-11bd-4aca-a64c-eef6ee354030,Gerar 6 SALs a partir dos leads gerados no evento,,metrica,0.0,6.0,2.0,33.0,verde,False,[],False,0,2026-03-31T15:00:05+00:00,2026-03-31T15:00:05+00:00
