id,name,description,leader_id,parent_team_id,is_active,created_at,updated_at
cc471ccf-9aaa-42ab-83ae-8a8c10bc90ee,Customer Success,,,,true,2026-03-31T15:00:04+00:00,2026-03-31T15:00:04+00:00
8d0e2f64-f5ed-4398-9b4f-ccdccd03958b,Diretoria,,,,true,2026-03-31T15:00:04+00:00,2026-03-31T15:00:04+00:00
49f22504-2e83-460f-89c5-566500daa97a,Financeiro,,,,true,2026-03-31T15:00:04+00:00,2026-03-31T15:00:04+00:00
1d595b75-3c79-4869-8396-499c40ce2438,Marketing,,,,true,2026-03-31T15:00:04+00:00,2026-03-31T15:00:04+00:00
f268faba-a438-4d6d-9b67-44480f02a05f,Operações,,,,true,2026-03-31T15:00:04+00:00,2026-03-31T15:00:04+00:00
e51c814a-a650-4b82-97c8-9ef87ddf9ece,Pré-Vendas,,,,true,2026-03-31T15:00:04+00:00,2026-03-31T15:00:04+00:00
4c018284-22a0-447e-986a-67c6f657fcb9,Produto,,,,true,2026-03-31T15:00:04+00:00,2026-03-31T15:00:04+00:00
6c5d3d34-aeea-4180-9020-945764c1a0a3,Recursos Humanos,,,,true,2026-03-31T15:00:04+00:00,2026-03-31T15:00:04+00:00
57111cea-452f-4172-80c3-891d251023ca,Tech,,,,true,2026-03-31T15:00:04+00:00,2026-03-31T15:00:04+00:00
ab7bb9e1-a6e8-454e-bfcf-c1b130fbae4f,Vendas,,,,true,2026-03-31T15:00:04+00:00,2026-03-31T15:00:04+00:00
