id,pessoa_id,tipo_admissao_id,tipo_contrato,n1_id,n2_id,n3_id,responsavel_rh_id,cargo_id,beneficios_ids,status_dados_pessoais,etapa_atual_id,observacao,gestor_id,primeiro_emprego_clt,created_at,updated_at
fecae00d-ed9b-43c3-a1c7-2a8813e54cfc,cbec5a8b-9cf4-40c4-879d-1b3e41241b02,,CLT,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,Salário base: R$ 3.060,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
c1550b52-f95c-4b12-8953-786b8ce6097b,95d3ef45-9bb0-4d5e-8bf4-8a37af1964fa,,CLT,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,DevOps Junior 1,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
ff92efa0-55fd-4d16-bb7e-aafc012c562c,03c13257-b434-4f76-a263-a6c7ec051de1,,Estágio,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,Edu entrará como Estagiário de DevOps,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
8448c234-bbcc-4ab3-840a-b28092a15aa4,92bcf11d-1c20-4f37-b2c8-591a83201e51,,CLT,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
43860871-a2a0-4978-bda9-cdebf5cb9e86,64053570-9e62-4d63-ae5f-ab74720ae9ed,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
4a4b547f-a4b4-4502-ab8f-b2d7caabd5c7,d314d68e-0982-442f-a8d4-9efd9c52af7c,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
1a0664b8-0d2c-4720-b85a-9215a0a88eae,6734b2bd-69b0-4d85-8a3e-accbfbbf2a11,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
840745ea-5e3c-4197-a923-9bbdc2ab23e0,54c88d87-bc37-451a-8d0e-73783cb4e4f6,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
aff84631-1db4-47d1-8ca2-d98848aa4858,04a7855d-83bd-4f97-8b54-1ab225675561,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
c85527d8-8783-4f7b-8808-70f2d1cdbf2d,41a9fe78-3b2a-439d-9ff1-358996309659,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,Contrato social pendente,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
d6ad2ea7-e549-440d-84dd-f5b81cd05575,90f1f57f-3343-4fe2-a6e5-570f88c06027,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
8d4bd8bd-43be-47d3-a3b2-642fee200055,c7516f99-595b-409d-be42-edd8631b17c8,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
16e43587-d372-4544-8cfa-4f99be231b96,b04b21a0-2549-42ad-88a3-31a43bdc9dd9,,CLT,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
93018a98-9ce1-4bc3-ba6a-69d0ec073418,97f4480e-0ad9-4265-a9b4-aa011b4ebcae,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
682d3acc-a587-406b-b122-ab686f9c1f69,4a79766d-d953-4afc-a93e-5d05d0800c9c,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
7d11ef85-b185-4616-8c06-de0748cf3950,b8beac8e-4f37-4faf-9b35-a75113dbf4b2,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
0bee9ff9-5a14-4d05-a3f6-093faddc3b74,26ce87b0-397f-4e08-87f8-d9331ba226a5,,CLT,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
d0af1892-9622-46e6-9ead-07a159f010f4,a0c4fae8-fde3-419c-982e-5af5f791a4a3,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
d8f81368-c7d9-43ca-bb24-51abf5bbeb44,e7e8ccf1-d2c3-40b5-95d4-2a4028b76166,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,apelido dele é Theus,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
ae64d68e-95f8-4f7e-a80f-be70031bc5a8,4de5c4b5-9e57-4216-8fb9-c1557487a96e,,CLT,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
7839c90f-c20f-42f9-ab1c-135dad070251,154519a5-fa50-495c-962c-aa701101fb13,,CLT,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
d00de817-d60e-476d-b731-77e7c8c3a595,5c86eb05-3c94-4337-b956-864e8e7a9de3,,PJ,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
d49d7df1-f3bc-433f-9772-811fc058c0f1,8a03471f-523e-4a42-88e3-131f4193aa2b,,CLT,,,,3ad59819-e7a9-4086-95d1-a171db853e80,,,Preenchido,,,,false,2026-03-31T02:37:20+00:00,2026-03-31T02:37:20+00:00
