id,mes,ano,data_pagamento,created_at,updated_at
9934fc4a-16ba-4413-95a0-a060d2a56ce9,11,2024,2024-12-05,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
aef252de-c020-4613-a2d1-5ad9485e09b1,12,2024,2024-12-05,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
3949a757-587e-40ed-bb61-6d469545b2f7,1,2025,2025-02-05,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
e03aa0a4-f24e-4e4e-89db-827fff7e5c62,2,2025,2025-03-06,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
a2b0450b-e0e0-4599-94ec-589f89cf018a,3,2025,2025-04-04,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
3133f92a-2e04-4d9c-a8bf-f46560668c96,4,2025,2025-05-07,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
a508327d-3c28-4bf5-835d-79bd088d6d6c,5,2025,2025-06-06,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
7856c70d-3904-4361-8d94-c9c797e7fbc5,6,2025,2025-07-04,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
45ae7cf7-3182-4c1d-b852-67d865c0de8b,7,2025,2025-08-06,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
bc251226-4d0e-4590-902b-1de56c48a6ee,8,2025,2025-09-05,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
a2a17d89-2241-4d00-9de7-fdb414fdc372,9,2025,2025-10-06,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
b63db48b-86c7-4235-824a-c6d248185f97,10,2025,2025-11-06,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
470ca5da-cec7-49e9-bf64-60ef736be775,11,2025,2025-11-28,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
dc27caaf-1fee-4a83-a19e-dec45211683b,12,2025,2025-12-19,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
9d3cdbfc-0e4d-4108-922c-686eddabea64,1,2026,2026-02-06,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
ba00fba1-23b0-4e2f-97bd-09cf87dd1faa,2,2026,2026-03-06,2026-03-31T23:20:41+00:00,2026-03-31T23:20:41+00:00
